Bezeichung,Kosten €,Durchmesser mm,Min. Biegeradius mm,Mechanische Zugfestigkeit N,Betriebstemperatur °C,Widerstand Ω,Spannungsfestigkeit kV
Kabel 487,2.1,2.5,23.9,100,-25,26,3.4
Kabel 488,9.1,2.6,20.6,50,119,22,4.3
Kabel 489,6.9,2,24.1,70,34,24,5.7
Kabel 490,5.9,1.7,11.8,60,89,14,3.3
Kabel 491,9.8,2.1,12.1,90,77,25,5.3
Kabel 492,6.2,2.1,10.1,80,-2,24,4.9
Kabel 493,9.4,2,26.2,50,-25,20,4.2
Kabel 494,9,2.3,14.2,70,70,26,5.4
Kabel 495,5.8,1.9,11.7,70,145,25,5.4
Kabel 496,6.7,1.9,16.5,70,6,20,5.9
Kabel 497,4.5,1.8,25.5,90,28,19,3.6
Kabel 498,1.2,2.5,14.2,50,128,24,5.9
Kabel 499,4.4,2.6,21.8,70,-1,23,3.5
Kabel 500,2.8,2,12,80,58,22,5.1
Kabel 501,6.2,2.3,19.3,90,83,17,5.5
Kabel 502,5.9,2.7,26.2,60,74,16,5.7
Kabel 503,4.6,2.7,16.4,60,98,20,2.5
Kabel 504,9.7,2.5,10.7,90,34,22,5
Kabel 505,4.5,2.3,23.6,80,123,24,5.2
Kabel 506,4.3,2.3,11.6,70,147,14,4.6
Kabel 507,2.2,2.4,14.1,90,31,14,3.7
Kabel 508,2.3,2.8,25.2,80,58,19,5.4
Kabel 509,1.4,2.1,26,90,-1,14,4.6
Kabel 510,7.4,1.9,8.8,60,92,14,2.6
Kabel 511,8.2,1.9,19.2,80,71,19,4.2
Kabel 512,2,2.5,22.9,70,117,15,2.1
Kabel 513,9.6,1.7,11.7,90,40,27,3.2
Kabel 514,9.3,1.9,9.1,100,-11,25,3.6
Kabel 515,4.1,1.6,23.9,80,46,20,2.3
Kabel 516,7.1,1.8,12.2,50,105,23,2.6
Kabel 517,4.6,2.5,18.5,100,148,21,3.6
Kabel 518,9.7,2.7,15.2,100,72,24,5
Kabel 519,9.8,2.1,19.3,100,30,20,3.1
Kabel 520,9.1,1.9,12.6,80,142,16,3.8
Kabel 521,3.6,1.6,13.7,90,144,23,2.2
Kabel 522,8.8,2.6,25.4,50,32,14,5.6
Kabel 523,2.8,2.5,26.1,60,55,14,2.7
Kabel 524,1.3,2.5,27.3,80,23,15,4.4
Kabel 525,9.8,2.7,27.7,70,113,26,3.1
Kabel 526,1.2,2.4,15.3,90,131,19,4.6
Kabel 527,2.7,2.4,8.2,60,-19,21,2.1
Kabel 528,5.6,2.8,26.6,60,-14,27,4.7
Kabel 529,6.2,2.3,9.7,80,-34,23,3.6
Kabel 530,3.3,2.3,27.7,80,22,18,5.4
Kabel 531,2.7,1.6,19,90,88,15,3.6
Kabel 532,6.2,2.1,16.6,60,143,24,5.1
Kabel 533,7.8,2,10,60,2,23,4.5
Kabel 534,5.6,2,25.3,80,127,23,2.7
Kabel 535,2.2,1.6,22.8,70,69,21,3.1
Kabel 536,8.7,2.4,11,90,65,24,4
Kabel 537,7.7,1.6,22.6,90,96,16,5.4
Kabel 538,3.5,1.9,10.2,80,-11,15,2.9
Kabel 539,1.2,2.6,25.8,60,-34,23,3.4
Kabel 540,4,1.7,20.6,100,119,15,5.8
Kabel 541,1.1,2.5,27,100,92,21,4
Kabel 542,9.6,2.6,22.7,90,107,16,3.5
Kabel 543,1.5,2.8,27.7,70,18,23,4.7
Kabel 544,5.1,2.7,24.7,60,-7,13,4.7
Kabel 545,2.9,1.6,15.9,60,32,25,4.4
Kabel 546,6.8,2.3,27.6,90,114,27,5.6
Kabel 547,6.2,1.8,20.8,90,80,22,2.5
Kabel 548,4.7,2.4,25.3,90,-18,18,5.2
Kabel 549,9.3,1.9,25.2,90,110,21,4.2
Kabel 550,9.4,2.4,19.1,80,140,25,5.7
Kabel 551,4.2,2.7,16.5,100,52,24,4.1
Kabel 552,1.3,2,14,80,29,24,5.7
Kabel 553,9.1,1.6,23,70,19,21,4.2
Kabel 554,6.5,1.9,20.7,60,127,26,4.8
Kabel 555,5.8,1.7,12.8,90,-35,20,4.1
Kabel 556,5.5,2.1,20.5,50,70,22,4.7
Kabel 557,2.2,1.7,15.1,50,33,15,2.2
Kabel 558,5.1,2.6,11.9,90,56,14,5.3
Kabel 559,1.4,2.8,20.8,80,74,20,5.7
Kabel 560,6.9,2.4,19.4,70,58,22,5
Kabel 561,6.4,2.4,21,80,93,25,4.4
Kabel 562,1.8,2.2,20.9,80,83,19,5
Kabel 563,5.1,2.8,20.9,50,-11,15,2.1
Kabel 564,8.4,2.4,20.9,90,23,20,5.9
Kabel 565,1.4,2.7,8.7,60,136,23,2.7
Kabel 566,1.7,2.6,14.9,80,41,16,4.5
Kabel 567,8.6,2,10.3,80,89,13,5.4
Kabel 568,3.4,2.5,23,70,-18,20,2.8
Kabel 569,3.8,2.5,25.3,50,135,21,3.9
Kabel 570,6.6,2.6,24.7,90,137,26,2.6
Kabel 571,9.7,2.1,12.2,80,-12,26,2.7
Kabel 572,2.1,2.2,12.1,80,107,24,2.7
Kabel 573,3.6,2.6,23.3,80,-1,26,2.7
Kabel 574,9.5,2.5,11.2,80,38,14,3.4
Kabel 575,8.6,2.7,21.8,90,-34,14,3.5
Kabel 576,3,2.1,23.8,80,139,17,3.1
Kabel 577,2.9,2,25.5,80,102,13,4.4
Kabel 578,7.9,2.7,18.9,80,42,22,4.6
Kabel 579,4.4,2.2,20.8,90,-35,17,2.4
Kabel 580,1.8,2.2,15.8,50,101,21,2
Kabel 581,1.3,2.2,12.6,100,-17,25,4.8
Kabel 582,9.5,2.5,9.9,80,73,27,3.5
Kabel 583,8.9,2.2,13.4,70,-21,16,3.4
Kabel 584,8.3,1.8,8.6,50,12,17,5.1
Kabel 585,9.5,1.9,17.8,70,14,16,3.1
Kabel 586,8,2.3,9.7,90,-29,19,5.2
Kabel 587,1.2,2.2,26.3,90,-8,20,5.9
Kabel 588,3.5,2.6,25,50,94,19,5
Kabel 589,8.4,2.2,13.6,50,103,25,2.6
Kabel 590,5.7,1.9,27.4,50,60,15,2.5
Kabel 591,8.2,1.7,27.1,90,118,20,2.1
Kabel 592,8.8,2.5,15.4,80,58,18,4.6
Kabel 593,6.7,2,22.4,50,-32,18,3.3
Kabel 594,3,2.4,8.6,60,14,14,2.4
Kabel 595,4.2,2,12.2,100,14,23,2.9
Kabel 596,6.2,1.7,26.5,70,130,18,2.6
Kabel 597,6.8,1.8,17.8,70,126,27,5.8
Kabel 598,7.3,2,8.6,80,-9,15,3.2
Kabel 599,9.4,2.3,20,70,100,21,4.6
Kabel 600,1.7,2.6,18,90,13,22,5.2
Kabel 601,7.7,2.4,8.2,100,-40,22,5.8
Kabel 602,7.4,2.3,23.2,60,-38,17,2.4
Kabel 603,4,1.7,15.3,50,66,17,3.5
Kabel 604,4.5,1.6,26.5,60,-20,27,4.8
Kabel 605,7.8,2.4,17.4,60,149,26,2.1
Kabel 606,5.8,2.2,27.8,60,116,21,5
Kabel 607,4.2,2.2,27.9,70,127,16,3.9
Kabel 608,7.5,2.2,22,80,-28,23,2.5
Kabel 609,6.1,2.7,14.2,60,49,15,3.3
Kabel 610,8.1,1.8,10.3,60,122,25,3.7
Kabel 611,6.5,2,8.8,70,-5,19,2.6
Kabel 612,8.9,1.8,26,60,14,17,4.9
Kabel 613,3.1,2.2,9.3,80,111,24,3.4
Kabel 614,3.9,2.3,10.1,80,77,14,4.8
Kabel 615,1.3,2.8,12.6,90,30,17,5.2
Kabel 616,7.8,1.8,8,90,33,21,3
Kabel 617,7.1,2.5,27,70,12,26,2.4
Kabel 618,8.1,2,14.7,100,49,16,5.2
Kabel 619,1.3,1.7,11,60,3,17,4.1
Kabel 620,6.4,2,18.8,60,38,26,3.8
Kabel 621,5.1,2.5,12.1,70,55,16,2.9
Kabel 622,3.7,2.6,18.3,50,92,24,2
Kabel 623,1.1,1.6,11.3,50,39,26,5
Kabel 624,3.7,2.3,11.4,80,68,25,2.5
Kabel 625,2.4,2,14.3,70,5,26,2.6
Kabel 626,4.9,2.6,9.4,80,44,14,2.5
Kabel 627,8.9,2.6,12,90,114,16,2.9
Kabel 628,1.9,2.5,10.8,60,-35,18,2.5
Kabel 629,7.2,1.6,13.5,90,-0,21,4.6
Kabel 630,2.3,1.9,14.2,90,-7,27,6
Kabel 631,6.7,2.3,24.1,80,133,21,5.7
Kabel 632,1.2,2.1,11.5,60,46,18,3.7
Kabel 633,5.2,2.1,14.2,70,129,22,3.1
Kabel 634,10,2.5,22.5,50,-37,26,2.4
Kabel 635,5.2,2.3,23.1,90,46,15,3.8
Kabel 636,4.1,2.4,25.3,100,142,19,2.6
Kabel 637,1.9,1.7,13.2,90,118,20,2.1
Kabel 638,6.5,2.2,14,70,21,14,2.9
Kabel 639,6.4,2.5,19,80,104,17,5
Kabel 640,3,2.2,21,100,-18,21,3
Kabel 641,5.4,2.6,12.7,50,78,17,2.7
Kabel 642,7.8,2.3,16.8,70,-33,17,4.4
Kabel 643,7.1,2.2,27.2,50,110,15,2.5
Kabel 644,3.4,2.6,9,80,45,16,3.1
Kabel 645,8.3,2.4,22.7,50,97,21,3.5
Kabel 646,4.4,2.8,26.3,70,100,19,5.5
Kabel 647,2.9,2.5,22.2,90,110,23,4.8
Kabel 648,7.5,2.7,9.3,60,102,18,3.1
Kabel 649,3,2,13.4,90,20,15,3.8
Kabel 650,4.2,2.2,24.3,70,-27,14,4.2
Kabel 651,2.8,2.4,23.5,80,37,19,3.5
Kabel 652,6,2.4,9.8,90,-35,23,2.4
Kabel 653,3,1.7,26.4,100,53,24,2.7
Kabel 654,3.3,2.3,11.6,70,26,16,6
Kabel 655,6.9,2.5,18.6,60,-37,24,3.6
Kabel 656,2.7,2.5,17.9,80,73,17,5.8
Kabel 657,4.5,1.7,9.2,60,85,25,5.4
Kabel 658,3.9,2.6,24.3,60,20,16,2.3
Kabel 659,8.8,2.3,16.7,80,34,22,2.7
Kabel 660,2.8,2.5,21.4,70,-13,15,5
Kabel 661,7.9,2.6,26.1,70,11,23,5.5
Kabel 662,4.9,2.2,9.9,70,16,18,5
Kabel 663,7.3,2.5,16.8,70,64,16,3.9
Kabel 664,1.1,2.4,13.8,100,29,21,3.5
Kabel 665,3.7,1.9,18.6,50,-34,15,3.3
Kabel 666,3.2,1.7,11.7,80,2,21,2.4
Kabel 667,5.9,2,12.3,80,15,16,2.4
Kabel 668,1.8,2.2,27.2,60,96,26,5.6
Kabel 669,7.1,1.9,23.4,70,48,25,3.4
Kabel 670,5,1.8,8.8,70,-25,26,2.3
Kabel 671,6.7,2.7,12.7,70,-37,20,5.9
Kabel 672,8.3,2.7,15.3,80,7,20,2.5
Kabel 673,1.6,2.2,13,80,-3,17,5
Kabel 674,1.2,2.8,26,90,51,16,3.3
Kabel 675,1.8,2.2,13.8,70,73,23,3
Kabel 676,1.9,2.7,18.5,50,130,21,2.4
Kabel 677,6.8,2.7,21.9,80,133,26,3.7
Kabel 678,7,2.1,14.8,70,-1,26,2.7
Kabel 679,6.2,1.9,8.5,80,22,22,3.6
Kabel 680,5.3,2,23.4,80,-4,25,4.4
Kabel 681,3.5,1.8,15.3,60,81,17,4.9
Kabel 682,1.3,2.5,15.9,80,81,17,3.9
Kabel 683,2,2.7,26.4,80,26,24,5.4
Kabel 684,8.4,1.8,27.4,100,25,27,4.6
Kabel 685,8.4,2.1,26.3,90,135,24,3.4
Kabel 686,9.6,1.9,22.2,70,122,16,2.4
Kabel 687,9.2,2.1,9.8,60,-27,24,3.9
Kabel 688,5.5,1.9,21.6,80,121,22,2.7
Kabel 689,8.2,1.8,17.1,100,69,14,5.8
Kabel 690,4.4,2.7,24.1,80,78,22,2
Kabel 691,8,2.5,28,90,74,22,4.3
Kabel 692,6.6,1.8,9.8,90,140,26,4.7
Kabel 693,8.3,2.1,11.8,80,112,25,4.7
Kabel 694,2.2,1.8,14.5,70,17,17,3.7
Kabel 695,5.2,2.6,16.6,60,35,14,4.7
Kabel 696,8.3,2.1,16.7,70,103,14,2
Kabel 697,6.2,2.5,14.3,70,21,17,2.2
Kabel 698,4.9,2.5,12.4,90,-18,13,3.7
Kabel 699,6.5,1.7,19.4,70,103,16,3.9
Kabel 700,6.6,2.4,12.1,90,150,21,5.7
Kabel 701,4.8,2.8,17.1,60,73,22,2.2
Kabel 702,2.4,2.2,11.9,100,17,25,3.4
Kabel 703,8.9,1.7,27.9,60,42,17,4.4
Kabel 704,5.9,2.2,15.1,70,80,24,3
Kabel 705,1.4,2.2,27.6,50,52,14,5.7
Kabel 706,7.4,1.7,12.3,60,109,17,4.9
Kabel 707,5.2,2.2,17.7,80,89,21,3.3
Kabel 708,5.4,2.8,19.8,50,32,27,2
Kabel 709,1.6,1.6,11.5,90,-12,23,4.1
Kabel 710,4.7,2.3,23,60,133,20,3.3
Kabel 711,8.3,2.3,26.7,90,61,24,3.7
Kabel 712,6.1,2.5,25.6,70,7,21,4.6
Kabel 713,5.1,2.5,24.2,90,78,25,2.6
Kabel 714,1.5,2.8,9.9,60,-22,18,5.1
Kabel 715,6.6,2.3,27.8,80,74,21,4.9
Kabel 716,1.3,2.5,20.3,60,126,21,5.2
Kabel 717,3.5,1.8,21,50,118,24,3.7
Kabel 718,5.3,2.2,16.3,90,-21,15,3.7
Kabel 719,10,2.3,25.8,50,-40,16,4.3
Kabel 720,7.2,2.6,25.3,70,125,16,5.4
Kabel 721,3.1,1.7,15.6,70,126,25,4.8
Kabel 722,3.3,1.8,8.9,60,22,15,3.4
Kabel 723,7,2.5,24,70,109,14,2.1
Kabel 724,2.3,2.7,20.4,90,20,13,5.9
Kabel 725,5.2,2.6,23.1,70,-12,17,5.4
Kabel 726,9.1,2.1,12.5,100,-6,24,5
Kabel 727,7.8,1.9,21.5,70,117,14,2.2
Kabel 728,2.8,2.8,26,90,119,24,5.7
Kabel 729,7.6,2.3,23.8,80,134,17,5.4
Kabel 730,6.9,1.7,9.5,80,111,19,5.5
Kabel 731,5,2.2,19.9,90,118,14,3.5
Kabel 732,5.3,2,12.2,70,29,24,3.6
Kabel 733,6.1,2.3,13,90,100,25,3.6
Kabel 734,3.1,2.2,24.6,50,34,27,4.2
Kabel 735,9.5,2,22.3,100,109,20,3.9
Kabel 736,5.3,2.3,21.8,90,-26,22,2.2
Kabel 737,6.8,1.7,16.8,70,114,17,2.1
Kabel 738,9.5,2.7,18.1,60,16,22,3.6
Kabel 739,7.2,2.3,23.2,100,145,16,5
Kabel 740,1.8,2.6,20.9,60,-25,14,2.6
Kabel 741,7.2,2.1,27.8,50,-8,26,5.1
Kabel 742,5.7,1.9,12.7,60,125,27,4.8
Kabel 743,2,1.8,8.4,90,26,25,2.1
Kabel 744,6.6,2,21.1,50,99,25,4.3
Kabel 745,3,2.6,14.1,90,120,17,4.7
Kabel 746,5.4,2.2,23.3,60,22,18,5.8
Kabel 747,4.6,2.8,22.5,100,-3,16,2.1
Kabel 748,7.8,2,25.4,70,17,19,3.7
Kabel 749,8.6,1.7,13.2,70,-23,25,3.8
Kabel 750,4.8,1.9,22.4,70,-36,26,4
Kabel 751,8,2.5,21.2,70,-9,24,2.8
Kabel 752,2.9,2.7,22.2,100,17,24,5.5
Kabel 753,8.7,1.6,18.6,60,125,20,2.9
Kabel 754,8.5,2.1,18,60,133,16,3.2
Kabel 755,6.1,1.8,9.8,70,115,25,5.9
Kabel 756,5.9,1.9,19.4,100,13,27,2
Kabel 757,2.5,2.5,21.1,80,111,14,3.6
Kabel 758,9.6,2.4,21.3,70,16,19,5.3
Kabel 759,4.9,2.1,8.7,50,148,16,2.7
Kabel 760,2.7,2,17.7,90,109,16,3.7
Kabel 761,5.6,1.8,15.6,90,-8,18,3.6
Kabel 762,1.9,1.9,22.6,90,-29,14,2.2
Kabel 763,5.2,1.8,17.2,70,40,26,4.3
Kabel 764,9.7,2,21.7,60,78,16,2
Kabel 765,4.3,2.4,8.1,90,39,14,4.7
Kabel 766,9.9,2.3,13.2,90,46,16,4.7
Kabel 767,5.1,2.7,12.6,60,137,16,2.2
Kabel 768,2.3,2.2,23.2,70,129,14,3
Kabel 769,2.4,1.9,22.6,90,57,20,3.4
Kabel 770,2,1.8,12.1,90,13,25,3.8
Kabel 771,9.2,2.7,21.2,90,47,14,3.3
Kabel 772,7.5,2.2,27.7,70,146,21,5.9
Kabel 773,4.4,2,8.6,90,87,24,3.5
Kabel 774,1.9,2.2,14,100,26,24,4.6
Kabel 775,2.8,2.8,9.5,50,-20,23,4.3
Kabel 776,2.5,1.7,24.6,60,-31,24,4.6
Kabel 777,9.2,2.5,9,100,-3,26,3
Kabel 778,9.5,2.6,17.5,80,70,21,4.5
Kabel 779,5.7,1.9,22.2,60,62,15,3.1
Kabel 780,4.1,2.2,25.8,90,86,26,3.2
Kabel 781,1.7,2.5,17,100,7,16,5.1
Kabel 782,5.8,1.8,11.5,60,149,20,4
Kabel 783,1.8,2,19.9,90,146,27,3.7
Kabel 784,6.9,2.5,9.6,60,-15,26,5
Kabel 785,1.5,2,13.3,90,4,19,2.5
Kabel 786,8.6,2.6,14.8,50,119,21,3.6
Kabel 787,4.3,2.6,12.6,60,65,22,3.9
Kabel 788,8.3,2.5,25.5,100,106,15,2
Kabel 789,8.6,1.9,11,80,-32,22,4.5
Kabel 790,6,2.7,22.7,60,-3,26,5.3
Kabel 791,2.7,2.5,26.2,90,138,26,2
Kabel 792,8.8,2.6,17.8,100,148,25,4.1
Kabel 793,1.9,1.7,26.5,70,-32,13,2.7
Kabel 794,4.3,2.6,15.5,80,53,24,6
Kabel 795,4.7,2.1,14.6,60,97,23,5.7
Kabel 796,5.7,1.8,17.8,90,8,14,5.7
Kabel 797,4.1,2.2,28,80,89,18,5.2
Kabel 798,2.4,2.7,11.6,80,-10,18,3.4
Kabel 799,8.8,1.6,10.4,100,-14,22,5.8
Kabel 800,8.3,1.6,12.3,60,57,21,2.7
Kabel 801,4.5,1.7,13.9,60,34,24,3
Kabel 802,5.8,2.3,12.4,70,124,23,5.2
Kabel 803,3.4,2,18.2,60,144,20,3.4
Kabel 804,7.3,1.8,14.6,60,100,20,5.7
Kabel 805,7.9,2.4,9.8,90,122,18,4.9
Kabel 806,5.1,1.9,25.4,90,-38,21,4.7
Kabel 807,6.8,1.8,21.8,80,73,13,4.3
Kabel 808,4.7,2.2,21.6,90,-31,16,4.3
Kabel 809,9.2,2.7,16,70,-20,21,3.3
Kabel 810,4.5,2.7,19.1,80,2,23,3.8
Kabel 811,9.5,1.7,21.8,80,-23,22,3.1
Kabel 812,6.1,1.7,11.9,100,-17,14,2.7
Kabel 813,1.1,2.2,8.4,70,55,21,3.3
Kabel 814,2.6,2.2,25.9,80,-31,27,5.7
Kabel 815,1.1,2.7,12.3,70,-33,17,5.8
Kabel 816,3.9,2.7,23.1,80,84,15,4.6
Kabel 817,6.1,2.5,23.8,80,108,18,5.9
Kabel 818,4,2.1,18.9,90,-25,21,3.8
Kabel 819,5.3,1.9,13.4,50,-6,18,5.6
Kabel 820,5.5,2.2,15.9,50,97,24,3.6
Kabel 821,9.5,2,15.5,80,103,16,2.4
Kabel 822,7.6,2,19,70,7,27,4.7
Kabel 823,2.6,1.7,23.1,90,-17,19,2.3
Kabel 824,7.9,2.6,12.2,50,47,26,3.6
Kabel 825,9.6,1.8,10.8,70,88,24,3.1
Kabel 826,9.1,1.9,27.1,80,104,16,3.4
Kabel 827,9.9,1.7,13.4,90,-30,16,4.5
Kabel 828,6.1,2.8,25.6,90,139,14,3.2
Kabel 829,2.5,1.9,19.5,80,111,26,3.5
Kabel 830,5.6,2.5,20,90,58,16,5.3
Kabel 831,4.4,1.8,22.1,60,125,17,5.8
Kabel 832,1.5,1.8,10,90,140,21,5.3
Kabel 833,5,1.9,23.8,60,112,25,4.7
Kabel 834,6.9,2.1,8.9,70,39,16,4.8
Kabel 835,9,2.1,24.2,70,33,21,5.3
Kabel 836,7.2,2.3,20,70,-36,20,4.6
Kabel 837,6.6,2.2,19.8,80,110,25,5.1
Kabel 838,6,1.7,23.3,80,-26,17,6
Kabel 839,3.8,1.7,17.7,90,-34,22,2.6
Kabel 840,1.7,2.6,24.4,70,-11,14,3.9
Kabel 841,2.6,1.8,9.1,100,29,16,2.7
Kabel 842,3.2,2.7,12.8,60,102,25,4.5
Kabel 843,3.9,1.7,20,60,93,13,4.7
Kabel 844,1.6,1.8,11,100,60,25,4.6
Kabel 845,2.6,2,9.5,60,-24,23,5.9
Kabel 846,5.2,2.5,21.9,70,88,25,2.2
Kabel 847,6.3,2.7,26.8,70,11,22,3.6
Kabel 848,7,1.9,14.1,70,145,26,5.4
Kabel 849,1.1,2.5,19.1,60,108,15,4.7
Kabel 850,7.6,1.7,21.5,60,-13,25,2.1
Kabel 851,4.2,2.2,16.3,70,4,19,3.9
Kabel 852,2.2,2.6,10.8,60,85,17,3.8
Kabel 853,5.5,2.4,14.5,90,83,15,5.7
Kabel 854,9.2,2.5,8.8,80,86,17,5
Kabel 855,2.8,2.8,25.4,80,120,21,4.9
Kabel 856,1.5,2.4,27,70,132,26,2.4
Kabel 857,7.5,2.5,22.8,100,130,18,2.2
Kabel 858,9.8,2.7,10.9,70,-38,27,4.5
Kabel 859,4.8,1.9,8.2,70,64,21,4.5
Kabel 860,7.9,1.8,22,60,119,13,3.2
Kabel 861,4.2,2.1,18.1,50,83,15,4.6
Kabel 862,4.7,2.7,15.1,70,-15,22,4.5
Kabel 863,4.2,2.4,16.3,90,92,14,3.5
Kabel 864,6.3,2.3,19.6,60,97,22,2.5
Kabel 865,9.3,2.4,9.7,60,-28,20,2.6
Kabel 866,1.5,2.5,24.6,60,23,14,5.2
Kabel 867,2.5,1.6,8.4,60,30,23,3.4
Kabel 868,8.8,1.9,19.7,70,23,20,2.2
Kabel 869,5.4,2.2,18,80,-1,16,2.5
Kabel 870,3.1,2.5,25.6,60,68,20,5.5
Kabel 871,7.8,1.7,18.6,80,62,25,4.9
Kabel 872,3.6,2.3,12.6,80,112,22,3.7
Kabel 873,2.1,2,21.6,90,59,21,5.8
Kabel 874,8.2,2.2,18.3,50,110,19,3.1
Kabel 875,9.4,2,9.6,80,28,18,2.2
Kabel 876,1.9,2.5,24.5,90,-29,17,2.2
Kabel 877,5.1,1.8,27.9,60,-40,17,4.9
Kabel 878,1.4,2.5,19.4,80,80,21,2.9
Kabel 879,6.6,2.1,20.1,80,5,22,4
Kabel 880,1.1,2,22.6,80,72,15,4.6
Kabel 881,8.9,1.9,22.8,80,-33,26,3.2
Kabel 882,8,1.8,21.9,70,103,19,2.9
Kabel 883,8.5,2.4,18.8,60,150,19,2.1
Kabel 884,5.2,2.3,11.5,100,48,21,4.4
Kabel 885,7.1,1.9,19.1,90,96,23,4.5
Kabel 886,6.9,2.3,28,100,-17,13,6
Kabel 887,8.5,1.8,14.9,90,135,13,5.5
Kabel 888,7.1,2.7,25.5,60,110,25,2.7
Kabel 889,7.4,1.6,25,100,47,15,3.7
Kabel 890,8.3,1.8,25.1,70,148,16,2.6
Kabel 891,2.8,2.2,11,50,12,26,4.2
Kabel 892,5.3,1.7,19.1,60,55,13,5.6
Kabel 893,4.7,2.6,10.7,90,-39,15,4.3
Kabel 894,7.9,2.2,17.4,80,-21,17,2.6
Kabel 895,7.7,2.7,9.2,80,50,24,2.9
Kabel 896,7.5,2.8,21.8,80,99,15,2.7
Kabel 897,8.9,2.6,17.8,90,5,18,2.6
Kabel 898,5.4,1.8,10.6,80,52,22,5.8
Kabel 899,6.2,2.2,24.9,60,136,20,4.4
Kabel 900,1.6,2.7,22.8,80,57,22,4.8
Kabel 901,6.6,2.4,20.1,80,-21,19,5.7
Kabel 902,6.7,2.1,8,100,124,17,4.4
Kabel 903,6.4,1.7,16.3,70,134,23,6
Kabel 904,9,2.1,22.3,80,94,20,3.2
Kabel 905,2.8,2.7,19.2,80,94,14,4
Kabel 906,9.1,2.1,22.3,90,4,21,3
Kabel 907,9.7,1.6,12.9,50,-16,17,4.4
Kabel 908,3.2,1.6,8.5,90,-8,18,2.9
Kabel 909,3,2.2,13.6,70,6,13,4.1
Kabel 910,4.8,2.7,24.7,80,127,26,2.1
Kabel 911,5.6,2.7,21.9,80,88,14,3.2
Kabel 912,6.2,2.2,22.1,80,80,13,2.6
Kabel 913,2,1.9,26.5,100,-38,23,3.4
Kabel 914,2.3,2.1,13.1,90,-16,17,4.9
Kabel 915,1.5,1.6,15.3,50,88,23,4.1
Kabel 916,7.8,2.4,15.6,80,129,20,4.1
Kabel 917,7.9,2.8,26.6,70,136,17,5.1
Kabel 918,6,2.6,26.1,100,1,13,5.2
Kabel 919,4.7,2.6,25,50,35,16,3.3
Kabel 920,8.7,2.7,17.9,80,76,27,3.9
Kabel 921,1.7,1.8,12.3,50,-19,14,4.9
Kabel 922,2.1,2.5,26.7,80,39,25,3.6
Kabel 923,7.9,2.2,18.2,50,17,23,3.8
Kabel 924,4.3,2,19.5,90,66,25,5.2
Kabel 925,5.9,2.8,12.3,80,-29,23,3.2
Kabel 926,6.1,2.4,15.3,90,64,18,2.9
Kabel 927,1.1,1.9,12.3,60,-34,20,4.1
Kabel 928,9.6,1.7,9.5,80,-19,23,6
Kabel 929,8.1,2.7,26.1,70,-6,25,3.4
Kabel 930,2.6,2.4,8.3,90,63,16,5.5
Kabel 931,1,2.3,18,50,129,23,3.6
Kabel 932,2.4,2.7,13.3,70,50,19,3.2
Kabel 933,3.7,2.3,17.8,50,96,22,5
Kabel 934,1,2.6,14.9,100,-40,26,4.1
Kabel 935,2.1,2.4,24.3,80,80,16,5
Kabel 936,2.6,2.8,23.4,80,-5,13,3.3
Kabel 937,3.8,2.2,12.5,90,117,27,4.6
Kabel 938,2.9,1.7,11,80,67,19,3.9
Kabel 939,7.6,2.5,10.3,70,17,22,3.5
Kabel 940,3.5,2.2,19,80,-34,15,2.9
Kabel 941,3.3,1.9,15.9,70,-38,18,4.8
Kabel 942,5.4,2.2,10.8,50,-11,20,3.8
Kabel 943,2.5,2.3,27.1,90,-23,14,5.7
Kabel 944,5.1,2.4,26.9,80,64,15,3.9
Kabel 945,2.3,2.3,24.7,70,146,23,4.8
Kabel 946,8.6,2.1,23.9,80,32,26,2.2
Kabel 947,8.6,1.8,11.5,70,-27,17,5.9
Kabel 948,3.7,2.4,15.2,70,-22,16,2.6
Kabel 949,3.7,1.9,23.9,50,-33,16,3.2
Kabel 950,8.2,2.4,23.7,70,-17,23,4
Kabel 951,8.2,2.8,16,70,-34,16,4.7
Kabel 952,7.8,2.6,16.7,80,64,23,3
Kabel 953,9,2.4,27.1,100,106,27,3.7
Kabel 954,8.5,1.9,20.5,60,-31,14,2.2
Kabel 955,1.5,2.5,21.8,80,99,19,3.8
Kabel 956,4,1.9,19.3,60,45,20,3.3
Kabel 957,7.8,2.3,12.4,90,91,15,5.6
Kabel 958,6,1.9,23.4,70,-3,26,4.5
Kabel 959,8.2,2.7,10.1,90,131,17,2.9
Kabel 960,2.2,2.1,18.1,70,93,17,4
Kabel 961,4.3,2.6,25.3,60,69,14,3
Kabel 962,9.2,2.7,13.5,70,36,14,5.1
Kabel 963,7,2.3,25.4,60,46,26,3.5
Kabel 964,1.4,2.4,12.6,70,48,25,2.3
Kabel 965,8.1,2.5,9.5,90,-38,15,4.5
Kabel 966,9.6,2.5,23.4,80,87,17,5.8
Kabel 967,3.6,1.9,11.7,60,-3,19,5.4
Kabel 968,5.2,1.6,18.7,100,140,14,4.3
Kabel 969,5.9,2.5,23,50,-19,26,3
Kabel 970,5.8,2.4,21.2,90,43,19,4.8
Kabel 971,4.4,2.1,20,60,71,24,4.6
Kabel 972,5.7,1.9,20.4,80,78,25,2.6
Kabel 973,1.9,2.7,26,50,-13,15,2.2
Kabel 974,8.2,2.6,22,70,120,24,5.3
